2218,大干围北站	64,中村站 
2213,大汾田公路口站	64,中村站 
2212,大汾田公路口站	64,中村站 
2199,大布路站	64,中村站 
2185,春晖五街站	64,中村站 
2184,春晖四街站	64,中村站 
826,新村大街二巷站	64,中村站 
824,新安路站	64,中村站 
823,新安路站	64,中村站 
818,辛庄站	64,中村站 
817,辛庄站	64,中村站 
813,蟹庄村总站	64,中村站 
764,小塱总站	64,中村站 
763,小塱村口站	64,中村站 
762,小塱村口站	64,中村站 
760,小坑村站	64,中村站 
758,小迳路口站	64,中村站 
756,小迳村站	64,中村站 
746,小城花园站	64,中村站 
1264,友谊路口站	64,中村站 
1257,邮政物流中心站	64,中村站 
1256,邮政物流中心站A	64,中村站 
1230,永顺大道东站	64,中村站 
1226,永和综合楼站	64,中村站 
1220,永和开发区(禾丰新村)总站	64,中村站 
1218,永和加油站	64,中村站 
1214,永和(木古村)站	64,中村站 
1210,永安新村站	64,中村站 
2734,飞鹅村站	64,中村站 
2731,芳盛路(珠江中学)站	64,中村站 
2726,芳村西塱总站④	64,中村站 
2694,番禺大桥底站	64,中村站 
2673,峨山社总站	64,中村站 
2665,笃学路口站	64,中村站 
2664,笃学路口站	64,中村站 
2663,斗塘路站	64,中村站 
2662,斗塘路站	64,中村站 
2661,斗塘路西站	64,中村站 
2660,斗塘路西站	64,中村站 
2657,动物园总站1②a	64,中村站 
2642,东苑小区站	64,中村站 
2635,东兴市场站	64,中村站 
2620,东四路南站	64,中村站 
2618,东四路北站	64,中村站 
2595,东三路站	64,中村站 
2592,东三路口站	64,中村站 
2590,东区中学站	64,中村站 
2578,东圃镇站	64,中村站 
2571,东圃客运站	64,中村站 
2570,东圃客运站	64,中村站 
2569,东圃二马路站	64,中村站 
2568,东圃二马路站	64,中村站 
2567,东圃大马路站	64,中村站 
2327,大田路站	64,中村站 
2315,大坦居委站	64,中村站 
2314,大坦居委站	64,中村站 
2286,大埔南一街站	64,中村站 
2285,大埔南二街站	64,中村站 
2283,大埔东街站	64,中村站 
2274,大龙头村站	64,中村站 
2272,大岭南路站	64,中村站 
2246,大迳村站	64,中村站 
2245,大迳村站	64,中村站 
2220,大干围中站	64,中村站 
1360,员村生活区(市六医院)总站	64,中村站 
1354,员村南街站	64,中村站 
1352,员村家乐福总站	64,中村站 
1336,园夏村南站	64,中村站 
1335,园夏村南站	64,中村站 
1124,医药中专站	64,中村站 
1107,叶边村站	64,中村站 
1105,业田村站	64,中村站 
1091,摇田河路中站	64,中村站 
1090,摇田大街站	64,中村站 
1088,洋田塘口站	64,中村站 
1087,洋田塘口站	64,中村站 
1085,洋田村站	64,中村站 
1084,洋田村站	64,中村站 
1082,洋田村路口站	64,中村站 
1062,羊城花园站(楼巴士)	64,中村站 
890,新南大街口站	64,中村站 
867,新康花园站	64,中村站 
838,新桂路站	64,中村站 
837,新桂路站	64,中村站 
834,新丰路口站	64,中村站 
833,新丰路口站	64,中村站 
829,新村站	64,中村站 
827,新村大街站	64,中村站 
596,西岭路口站	64,中村站 
587,西街中站	64,中村站 
586,西街中站	64,中村站 
577,西华路尾总站①	64,中村站 
532,五福堂站	64,中村站 
529,屋角站	64,中村站 
528,屋角站	64,中村站 
521,乌石村北站	64,中村站 
520,乌石村北站	64,中村站 
515,乌冲站	64,中村站 
514,乌冲站	64,中村站 
491,文船生活区东区站	64,中村站 
477,望岗小学站	64,中村站 
471,旺旺食品有限公司站	64,中村站 
465,万龙路站	64,中村站 
436,外商活动中心站	64,中村站 
435,外商活动中心站	64,中村站 
428,外环东路站	64,中村站 
421,头陂村委站	64,中村站 
407,同和站2	64,中村站 
4219,沙湾一街站	64,中村站 
4217,沙湾五街站	64,中村站 
4216,沙湾三街站	64,中村站 
723,向西村口站	64,中村站 
717,祥岗社区站	64,中村站 
715,祥岗后街站	64,中村站 
713,香雪小学站	64,中村站 
712,香雪小学站	64,中村站 
705,香凝学校站	64,中村站 
688,贤江路站	64,中村站 
687,贤江路站	64,中村站 
686,贤江村站	64,中村站 
685,贤江村站	64,中村站 
670,夏园站	64,中村站 
668,夏园东路站	64,中村站 
640,下南路口站	64,中村站 
639,下南路口站	64,中村站 
627,西洲北路尾总站	64,中村站 
626,西洲北路(增槎路口)总站	64,中村站 
1561,镇龙水厂站	64,中村站 
1559,镇龙旧车站	64,中村站 
1558,镇龙二中站	64,中村站 
1557,镇龙二中站	64,中村站 
1544,长洲街办站	64,中村站 
1542,长洲岛小学站	64,中村站 
1422,云骏路中站	64,中村站 
1421,云骏路中站	64,中村站 
1379,员工大厦站	64,中村站 
4201,沙浦站	64,中村站 
4200,沙浦站	64,中村站 
4196,沙洛市场站	64,中村站 
4194,沙洛工业园站	64,中村站 
4191,沙洛村委站	64,中村站 
327,天朗明居站	64,中村站 
3538,民强村站	64,中村站 
3531,庙头站	64,中村站 
3530,庙头站	64,中村站 
3522,棉村站	64,中村站 
3521,棉村市场站	64,中村站 
3517,米龙小学站	64,中村站 
3511,门口岗总站	64,中村站 
4156,沙村站	64,中村站 
4154,沙步小学站	64,中村站 
4151,沙步五横路站	64,中村站 
4148,沙步二横路站	64,中村站 
4146,沙步村委站	64,中村站 
4140,森语大街路口站	64,中村站 
4139,森语大街路口站	64,中村站 
369,田心路口站	64,中村站 
367,田心村站	64,中村站 
366,田心村站	64,中村站 
364,田南路站	64,中村站 
328,天朗明居站	64,中村站 
3263,桃园中路站	64,中村站 
3262,桃园中路站	64,中村站 
3259,桃园西路北站	64,中村站 
3258,桃园西路北站	64,中村站 
3255,桃石路站	64,中村站 
3254,桃石路站	64,中村站 
3245,塘山村西站	64,中村站 
3243,塘山村敬老院站	64,中村站 
4691,联和墟站	64,中村站 
4686,联和北站	64,中村站 
4661,荔枝园西站	64,中村站 
4660,荔枝园西站	64,中村站 
4659,荔香路总站	64,中村站 
4656,荔香路南站	64,中村站 
4648,荔联街道办站	64,中村站 
1330,元新街站	64,中村站 
1316,元贝站	64,中村站 
1315,元贝站	64,中村站 
1314,元贝桥站	64,中村站 
1313,元贝桥站	64,中村站 
1312,元贝村总站	64,中村站 
1307,育英路站	64,中村站 
5714,金坑站	64,中村站 
5646,蕉园路中站	64,中村站 
5644,蕉园路西站	64,中村站 
5642,蕉园路东站	64,中村站 
5639,蕉门河社区服务中心站	64,中村站 
