8158,沙角村站	12791,林头西站 
8151,太石工业区站	12791,林头西站 
8132,励业路口站	12791,林头西站 
11314,老干部活动中心站	12791,林头西站 
8095,潭洲市场站	12791,林头西站 
7959,护林路(横沙村口)站	12791,林头西站 
11313,长沙路站	12791,林头西站 
11312,前锋路站	12791,林头西站 
11137,二横路口站1	12791,林头西站 
11134,杨梅岗村口站	12791,林头西站 
7896,华峰寺总站	12791,林头西站 
11119,石基总站	12791,林头西站 
11113,新桥东站	12791,林头西站 
11110,七十七站	12791,林头西站 
11097,东导桥站	12791,林头西站 
7432,李溪加油站	12791,林头西站 
7421,永光村站	12791,林头西站 
7408,白沙村站	12791,林头西站 
7365,东镜站	12791,林头西站 
7304,广塘站	12791,林头西站 
7292,花都万科天景花园总站	12791,林头西站 
7251,海北大道站	12791,林头西站 
7247,彩滨北路站	12791,林头西站 
7230,良沙路站	12791,林头西站 
6979,清布中学站	12791,林头西站 
6974,大润发站	12791,林头西站 
6965,车辆厂技校站	12791,林头西站 
6960,溢盈广场站	12791,林头西站 
6950,溢盈广场站	12791,林头西站 
6934,田美新村站	12791,林头西站 
4047,人民日报华南分社站1	12791,林头西站 
4046,人民南路站2	12791,林头西站 
4045,人民南路站2	12791,林头西站 
4044,人民南路站1	12791,林头西站 
4043,人民南路站1	12791,林头西站 
4041,人民北路站2	12791,林头西站 
9451,上社站1	12791,林头西站 
9446,上社站1	12791,林头西站 
9349,云祥路站	12791,林头西站 
11074,十二队站	12791,林头西站 
11060,万洲村(解放队)站	12791,林头西站 
9328,安平庄站	12791,林头西站 
9414,石溪站2	12791,林头西站 
8627,马前村站	12791,林头西站 
8617,马前村站	12791,林头西站 
8615,北流村站	12791,林头西站 
8612,二湾路口站	12791,林头西站 
8598,大岗中巴总站	12791,林头西站 
8592,灵兴工业园站	12791,林头西站 
8544,天麓湖郊野公园站	12791,林头西站 
8538,八斗村站	12791,林头西站 
8490,软件路西站	12791,林头西站 
8199,新南村站	12791,林头西站 
8192,凤尾路站	12791,林头西站 
10809,运动员二四区站	12791,林头西站 
10801,何贤医院(清河东路)站	12791,林头西站 
7784,天生路站	12791,林头西站 
7741,云溪路东站	12791,林头西站 
7737,广州东站汽车站总站	12791,林头西站 
7714,大龙桥站	12791,林头西站 
10692,黄鹤路口站	12791,林头西站 
10617,新扬村站	12791,林头西站 
7558,潭村牌坊站	12791,林头西站 
7551,潭村文化广场站	12791,林头西站 
7546,彭加木公园站	12791,林头西站 
7535,学山塘街南站	12791,林头西站 
7504,东乡村东站	12791,林头西站 
7501,东乡村西站	12791,林头西站 
10604,三东市场站	12791,林头西站 
7436,竹料税所站	12791,林头西站 
7427,永光村站	12791,林头西站 
7414,田寮庄站	12791,林头西站 
10088,天润路站	12791,林头西站 
7378,九湖村站	12791,林头西站 
7374,三凤村站	12791,林头西站 
7372,天和站	12791,林头西站 
7363,中心社区站	12791,林头西站 
7349,清布站	12791,林头西站 
7347,迎宾大道东站	12791,林头西站 
7329,新镇庄站	12791,林头西站 
7315,花都一中站	12791,林头西站 
7310,南洋庄站	12791,林头西站 
7301,南洋庄站	12791,林头西站 
7283,雅瑶医院站	12791,林头西站 
7274,新街水果市场站	12791,林头西站 
9945,东平北路(横岗村口)站	12791,林头西站 
9943,东平(横岗)总站	12791,林头西站 
7182,苏元庄东街口站	12791,林头西站 
7173,矮岗村总站	12791,林头西站 
7166,人和华成路东站	12791,林头西站 
9941,东平北路站	12791,林头西站 
9940,前进北街口站	12791,林头西站 
7070,石井大道(工业园)	12791,林头西站 
9807,大元帅府站	12791,林头西站 
7006,草场站	12791,林头西站 
6993,南漖村总站	12791,林头西站 
6990,蚌湖镇	12791,林头西站 
6781,红旗中心(博罗庄)站	12791,林头西站 
6630,蓼江上梁站	12791,林头西站 
9806,大同牌坊站	12791,林头西站 
5832,九龙二小九楼分校站	12791,林头西站 
5831,九龙二小大坦分校站	12791,林头西站 
5830,九龙二小大坦分校站	12791,林头西站 
5829,九岭路站	12791,林头西站 
5828,九岭路站	12791,林头西站 
5827,九佛总站	12791,林头西站 
5826,九佛医院站	12791,林头西站 
7393,三联路口站	12791,林头西站 
11297,联邦工业城站	12791,林头西站 
7380,花山中队站	12791,林头西站 
7375,广州国际物流中心站	12791,林头西站 
11139,永盛路口	12791,林头西站 
7288,花都钟村站	12791,林头西站 
7193,云城东路(云城南三路口)站	12791,林头西站 
11000,雅荷居站	12791,林头西站 
6984,花都狮岭五金龙头市场总站	12791,林头西站 
6944,公安办证大厅站	12791,林头西站 
6938,田美村站	12791,林头西站 
9532,烈士陵园站2	12791,林头西站 
10996,新力总站	12791,林头西站 
3866,平洲总站	12791,林头西站 
3865,平洲冲口站	12791,林头西站 
3864,平洲冲口站	12791,林头西站 
11296,南区公园(南城路)站	12791,林头西站 
11295,草河村牌坊站	12791,林头西站 
11294,眉山村站	12791,林头西站 
11293,大石地铁站站	12791,林头西站 
11292,华南新城南大路口站	12791,林头西站 
11291,新造医院站	12791,林头西站 
11290,文山村站	12791,林头西站 
11273,万安工业区站	12791,林头西站 
11272,良地埠站	12791,林头西站 
11271,民生桥北站	12791,林头西站 
11270,民生桥北站	12791,林头西站 
11269,榄核长江数码花园站	12791,林头西站 
11268,榄核成校站	12791,林头西站 
11267,榄核镇政府站	12791,林头西站 
11266,沙湾涌站	12791,林头西站 
11265,东深天益村站	12791,林头西站 
11264,同康路站	12791,林头西站 
11263,永大集团站	12791,林头西站 
11262,梅山村(金光大道)站	12791,林头西站 
11261,甘岗村委总站	12791,林头西站 
11256,广州外国语学校站	12791,林头西站 
11054,丹乐食品站	12791,林头西站 
11053,马克村总站	12791,林头西站 
9296,罗洞村口站	12791,林头西站 
9284,罗庄村站	12791,林头西站 
9276,大维村站	12791,林头西站 
9272,官坑村站	12791,林头西站 
9248,西三村口站	12791,林头西站 
9233,番禺监狱站	12791,林头西站 
9232,关帝岗站	12791,林头西站 
9216,诜村总站	12791,林头西站 
9211,大石四中站	12791,林头西站 
9188,广惠高速路口站	12791,林头西站 
9184,云星村站	12791,林头西站 
9178,体育公园站	12791,林头西站 
9153,增南路芳村车管所站	12791,林头西站 
9142,茶漖小区站	12791,林头西站 
10997,新市桥汽车站总站	12791,林头西站 
9042,三元里大道中站3	12791,林头西站 
9000,富力环市西苑(西村)站3	12791,林头西站 
10990,象圣中学站	12791,林头西站 
10804,媒体村站	12791,林头西站 
8958,陈田村站	12791,林头西站 
8944,中山纪念堂(市总工会)站1	12791,林头西站 
8937,华海大厦站2	12791,林头西站 
8923,农林东站2	12791,林头西站 
8890,天河南站2	12791,林头西站 
10351,民容路口站	12791,林头西站 
8553,太岗路中站	12791,林头西站 
8526,河东路口站	12791,林头西站 
8524,大转弯夹板城	12791,林头西站 
8503,十字路站	12791,林头西站 
10234,逸景路口	12791,林头西站 
8346,土华路西站	12791,林头西站 
8307,诚联公园站	12791,林头西站 
8298,沧头桥站	12791,林头西站 
8277,新桂路南站	12791,林头西站 
10146,龙归路口站	12791,林头西站 
10110,地铁文冲站总站	12791,林头西站 
9724,江高路口站	12791,林头西站 
9923,嘉禾站2	12791,林头西站 
9495,龙洞北路东站	12791,林头西站 
7907,大塘(坚真花园)总站	12791,林头西站 
7875,赵溪路口站	12791,林头西站 
9722,江高路口站	12791,林头西站 
10071,纸厂站2	12791,林头西站 
7812,大坦沙污水处理厂站	12791,林头西站 
7648,琶洲大桥底站	12791,林头西站 
7549,潭村桥东站	12791,林头西站 
7533,地铁永泰站总站	12791,林头西站 
7496,东沙站	12791,林头西站 
9604,文兴街站	12791,林头西站 
9833,地铁坦尾站	12791,林头西站 
7190,南云东街站	12791,林头西站 
8400,麦村村委站	12791,林头西站 
8360,中南花园	12791,林头西站 
8355,永盛市场站	12791,林头西站 
8333,长途客运站	12791,林头西站 
11162,亚运城体验中心站	12791,林头西站 
8180,松南路口站	12791,林头西站 
11154,东漖南路	12791,林头西站 
11132,杨梅岗村站	12791,林头西站 
11124,同和站	12791,林头西站 
11107,三坭涌站	12791,林头西站 
11093,鱼窝头中学站	12791,林头西站 
11064,十二队站	12791,林头西站 
7667,石基地铁站	12791,林头西站 
7665,陈戴巷站	12791,林头西站 
7663,赤岗新村站	12791,林头西站 
7662,石楼牌坊站	12791,林头西站 
7646,东方二路站	12791,林头西站 
7644,明月一路站	12791,林头西站 
7637,万寿路东站	12791,林头西站 
7633,墩和街口站	12791,林头西站 
7632,墩和路中站	12791,林头西站 
7625,新滘中路(龙潭)站	12791,林头西站 
7615,西塱村委站	12791,林头西站 
7584,茅岗路南站	12791,林头西站 
7555,潭村综合市场站	12791,林头西站 
7515,沐陂路站	12791,林头西站 
7502,东乡村西站	12791,林头西站 
7487,仓边路站2	12791,林头西站 
7484,海安路站	12791,林头西站 
7483,石牌东路南站	12791,林头西站 
7440,龙兴中路口站	12791,林头西站 
7399,中兴市场站	12791,林头西站 
7360,邦一工业园站	12791,林头西站 
7351,合和新城站	12791,林头西站 
7331,横潭路口站	12791,林头西站 
7324,花都区人民医院站	12791,林头西站 
7242,北太路柏塘村口站	12791,林头西站 
7228,寮采村口站	12791,林头西站 
7219,凤和村站	12791,林头西站 
6634,叶边市场站	12791,林头西站 
6604,金沙北路站	12791,林头西站 
7198,石井鸦岗总站	12791,林头西站 
7181,清湖村(苏元庄)总站	12791,林头西站 
7176,西成路站	12791,林头西站 
7164,人和聚贤街站	12791,林头西站 
7162,鸦湖村委站	12791,林头西站 
7156,鸦湖村委站	12791,林头西站 
7154,人和聚贤街站	12791,林头西站 
9842,沙河顶站2	12791,林头西站 
7121,大观总站	12791,林头西站 
9834,太和岗路口站	12791,林头西站 
7060,蚌湖桥北站	12791,林头西站 
7004,洲村站	12791,林头西站 
7000,信和广场站	12791,林头西站 
9830,东风西路站 2	12791,林头西站 
9817,木摾水库站	12791,林头西站 
9799,海珠客运站①	12791,林头西站 
9755,大沙头码头站1	12791,林头西站 
6746,黎家塘村站	12791,林头西站 
6743,新和村站	12791,林头西站 
6742,登塘村总站	12791,林头西站 
6738,高增大桥南站	12791,林头西站 
6734,龙塘路东站	12791,林头西站 
6729,白沙村口站	12791,林头西站 
6722,郭塘小学站	12791,林头西站 
6720,郭塘村尾站	12791,林头西站 
6714,石南路口站	12791,林头西站 
6709,郭塘小学站	12791,林头西站 
6708,郭塘村口站	12791,林头西站 
9797,堑口站2	12791,林头西站 
6688,夏良中心公园站	12791,林头西站 
6685,南村中路站	12791,林头西站 
9652,新滘东隧道口站	12791,林头西站 
6659,南村中路站	12791,林头西站 
6626,杨山村委站	12791,林头西站 
6625,鹤岗村站	12791,林头西站 
6616,蓼江村北站	12791,林头西站 
6614,蓼江小学站	12791,林头西站 
6590,罗溪路站	12791,林头西站 
6586,井岗村委站	12791,林头西站 
6583,井岗村口站	12791,林头西站 
9788,市中医院站2	12791,林头西站 
6562,高普路北站	12791,林头西站 
6550,平洲玉器街	12791,林头西站 
9586,茅岗村口站	12791,林头西站 
6499,前锋村站	12791,林头西站 
6471,冼庄立交站	12791,林头西站 
6464,瑚琏农贸市场站	12791,林头西站 
6462,地铁南浦站	12791,林头西站 
6459,地铁洛溪站	12791,林头西站 
6456,双塔路站	12791,林头西站 
6454,太古仓站	12791,林头西站 
6453,南边路口站	12791,林头西站 
6451,侨城花园	12791,林头西站 
6449,地铁市二宫	12791,林头西站 
6447,纺织路站	12791,林头西站 
6445,建基路站	12791,林头西站 
6441,科珠路口站	12791,林头西站 
6438,南云一路南站	12791,林头西站 
9584,石湖村东站	12791,林头西站 
9610,石榴岗路西站	12791,林头西站 
6431,南翔一路中站	12791,林头西站 
7719,海涌路口站	12791,林头西站 
7717,石基中学站	12791,林头西站 
7716,石基村站	12791,林头西站 
6908,荔红公园站	12791,林头西站 
6906,开创大道(香雪八路路口)站	12791,林头西站 
6904,开创大道口总站	12791,林头西站 
9608,滘心路北站	12791,林头西站 
6439,南云一路南站	12791,林头西站 
6428,南翔一路西站	12791,林头西站 
6403,大观路北站	12791,林头西站 
5999,柯木塱大坪街站	12791,林头西站 
5998,柯木塱大坪街站	12791,林头西站 
5997,柯木塱站	12791,林头西站 
8164,平稳村站	12791,林头西站 
8163,灵岗二桥站	12791,林头西站 
8149,大利高站	12791,林头西站 
8136,高铁庆盛总站	12791,林头西站 
8107,灵山村站	12791,林头西站 
8104,灵山市场站	12791,林头西站 
8092,南云二路南(海格产业园)站	12791,林头西站 
8090,科丰中路站	12791,林头西站 
8069,崖鹰石路北站	12791,林头西站 
7968,南云五路东站	12791,林头西站 
7966,科学城南部公交场总站	12791,林头西站 
11115,新桥村站	12791,林头西站 
11099,安顺涌站	12791,林头西站 
11070,沙尾站	12791,林头西站 
9464,程介村站3	12791,林头西站 
11006,禺山高级中学站	12791,林头西站 
10999,星海中学(捷进中路)站	12791,林头西站 
10984,西园站	12791,林头西站 
10979,西丽路站	12791,林头西站 
10976,西丽工业区站	12791,林头西站 
7868,赵溪路口站	12791,林头西站 
10971,西村北山站	12791,林头西站 
10962,汀根小学站	12791,林头西站 
10960,塘涌站	12791,林头西站 
10952,石岗西村站	12791,林头西站 
10950,沙园村站	12791,林头西站 
10939,沙头市场站	12791,林头西站 
10924,岐头村站	12791,林头西站 
10802,邮电大厦(清河东路)站	12791,林头西站 
10892,环城西路站	12791,林头西站 
10607,花山华侨中学站	12791,林头西站 
7811,大坦沙污水处理厂站	12791,林头西站 
7806,大学城综合商业北区总站	12791,林头西站 
10589,三东市场站	12791,林头西站 
