8563,柏兴中路站	1,竹料墟站 
8537,天麓湖社区站	1,竹料墟站 
8519,环滘旧桥头站	1,竹料墟站 
8404,大心田村站	1,竹料墟站 
8369,茶漖路站	1,竹料墟站 
8287,生物研究院站	1,竹料墟站 
8282,开泰大道(天泰二路口)站	1,竹料墟站 
7991,长龙村西站	1,竹料墟站 
10805,运动员一三区站	1,竹料墟站 
7844,惠联路站	1,竹料墟站 
10667,五眼桥西约站	1,竹料墟站 
10666,五眼桥西约站	1,竹料墟站 
7793,恒达路站	1,竹料墟站 
7732,官桥牌坊站	1,竹料墟站 
7726,赤岗新村站	1,竹料墟站 
7580,蟹山西站	1,竹料墟站 
7456,东平文化广场总站	1,竹料墟站 
7254,横沙路站	1,竹料墟站 
7014,里水客运站	1,竹料墟站 
7008,丰岗站	1,竹料墟站 
9518,南沙牌坊站	1,竹料墟站 
10340,阳光路站	1,竹料墟站 
10267,园坛岭路站	1,竹料墟站 
10241,兴渔路	1,竹料墟站 
10240,裕安围	1,竹料墟站 
9169,东海北路口站	1,竹料墟站 
9133,白江村站	1,竹料墟站 
9117,港口大道北站	1,竹料墟站 
10238,柳桥南路	1,竹料墟站 
8993,银河园站1	1,竹料墟站 
10056,星岛环南路中站	1,竹料墟站 
6440,科珠路口站	1,竹料墟站 
6433,南翔一路东站	1,竹料墟站 
6412,新新大道中站	1,竹料墟站 
9661,新丰路中(禾丰新村)站	1,竹料墟站 
8858,草河村站	1,竹料墟站 
11228,山门牌坊站	1,竹料墟站 
8793,海傍小学站	1,竹料墟站 
11227,山门村站	1,竹料墟站 
8764,石牌村站	1,竹料墟站 
8751,励业染厂站	1,竹料墟站 
11226,岳溪村站	1,竹料墟站 
8739,西塱永安站	1,竹料墟站 
8407,龙江村总站	1,竹料墟站 
11225,沙亭总站	1,竹料墟站 
8329,天河软件园管委会站	1,竹料墟站 
8275,罗坎村站	1,竹料墟站 
11224,柏堂牌坊站	1,竹料墟站 
7964,护林路(横沙村口)站	1,竹料墟站 
11223,桥福园(东环路)站	1,竹料墟站 
11222,交警大队站	1,竹料墟站 
7840,惠联路站	1,竹料墟站 
11221,城北公园站	1,竹料墟站 
7823,萝岗演艺中心总站	1,竹料墟站 
7728,石楼牌坊站	1,竹料墟站 
11219,茶东小学站	1,竹料墟站 
7520,沐陂南路口站	1,竹料墟站 
11217,丰达电机厂站	1,竹料墟站 
5825,九佛医院站	1,竹料墟站 
5824,九佛二中站	1,竹料墟站 
5823,九佛二中站	1,竹料墟站 
8801,贵冲站	1,竹料墟站 
8794,海傍幼儿园站	1,竹料墟站 
8786,东城市场站	1,竹料墟站 
8776,培贤路站	1,竹料墟站 
8775,东涌吉祥路站	1,竹料墟站 
8765,沙公堡村	1,竹料墟站 
8759,东涌医院站	1,竹料墟站 
8758,东涌镇政府站	1,竹料墟站 
8754,官坦村站	1,竹料墟站 
8406,果园村站	1,竹料墟站 
8401,边谭社站	1,竹料墟站 
7897,华峰路(红旗村)站	1,竹料墟站 
7886,永和开发区(树吓村)总站	1,竹料墟站 
7597,芳村码头总站	1,竹料墟站 
7596,白鹅潭酒吧街站	1,竹料墟站 
7595,悦成路站	1,竹料墟站 
7557,潭村文化广场站	1,竹料墟站 
10059,星汉大道北站	1,竹料墟站 
7015,银印站	1,竹料墟站 
6565,沐陂村站	1,竹料墟站 
6507,广州塔东站	1,竹料墟站 
6500,海傍村站	1,竹料墟站 
5818,迳头三社站	1,竹料墟站 
5817,迳头三社站	1,竹料墟站 
5816,迳头六社站	1,竹料墟站 
5815,迳头六社站	1,竹料墟站 
5814,迳头九社总站	1,竹料墟站 
5813,迳头二小分校站	1,竹料墟站 
5812,迳头二小分校站	1,竹料墟站 
5811,迳头二社站	1,竹料墟站 
5810,迳头二社站	1,竹料墟站 
5803,景泰直街北站	1,竹料墟站 
8738,西塱永安站	1,竹料墟站 
8737,西塱大桥站	1,竹料墟站 
8735,湛涌站	1,竹料墟站 
8734,湛涌站	1,竹料墟站 
8402,边谭社站	1,竹料墟站 
8310,沧联北区站	1,竹料墟站 
8279,光谱中路东站	1,竹料墟站 
8269,罗坎村站	1,竹料墟站 
8242,伴河路南站	1,竹料墟站 
8194,凤尾路站	1,竹料墟站 
8157,雁沙村站	1,竹料墟站 
11355,易发步行街站	1,竹料墟站 
7902,甘竹村站	1,竹料墟站 
7807,渔珠码头站	1,竹料墟站 
7780,双井村口站	1,竹料墟站 
11353,新兴渔村站	1,竹料墟站 
11174,地铁海傍站总站	1,竹料墟站 
7696,德信路站	1,竹料墟站 
7681,傍新路口站	1,竹料墟站 
7621,沐陂工业园站	1,竹料墟站 
7526,中科院化学所站	1,竹料墟站 
11056,鱼窝头大道站	1,竹料墟站 
11045,中教村站	1,竹料墟站 
6914,启学路(玉岩路路口)站	1,竹料墟站 
6909,萝峰小学站	1,竹料墟站 
11016,灵山医院站	1,竹料墟站 
5843,九洲文化家园站	1,竹料墟站 
5841,九太路口站	1,竹料墟站 
8723,中成路口站	1,竹料墟站 
8419,亭角北站	1,竹料墟站 
11010,樟边路口站	1,竹料墟站 
11007,禺山高级中学站	1,竹料墟站 
10905,解放路站	1,竹料墟站 
10864,番安教考场站	1,竹料墟站 
10862,东园新村站	1,竹料墟站 
10841,陈涌市场站	1,竹料墟站 
8109,平稳工业区站	1,竹料墟站 
10612,九龙湖站	1,竹料墟站 
7808,长平村口站	1,竹料墟站 
7777,创德鞋厂站	1,竹料墟站 
7765,瑞和路北站	1,竹料墟站 
7750,新墩大道站	1,竹料墟站 
7631,墩和路(愉景南苑)站	1,竹料墟站 
7253,白沙小学站	1,竹料墟站 
10639,东兴市场站	1,竹料墟站 
8711,亭角大桥东站	1,竹料墟站 
8658,天丰路口站	1,竹料墟站 
10199,南云五路站	1,竹料墟站 
8177,潭洲市场站	1,竹料墟站 
8160,榄九路口站	1,竹料墟站 
8129,东涌东丫村站	1,竹料墟站 
8125,石基村(市南路)站	1,竹料墟站 
8120,上坭村站	1,竹料墟站 
7963,护林路中站	1,竹料墟站 
7792,天生路站	1,竹料墟站 
7612,西塱大街站	1,竹料墟站 
7556,南新大街口站	1,竹料墟站 
6920,新业路北(斗塘路口)站	1,竹料墟站 
6596,井岗村委站	1,竹料墟站 
9659,新丰路(布岭村)站	1,竹料墟站 
5777,锦城花园(东风东)总站②	1,竹料墟站 
5766,金洲北路站	1,竹料墟站 
8655,南云三路北站	1,竹料墟站 
10936,沙头村站	1,竹料墟站 
10879,公安基地站	1,竹料墟站 
10869,福德路口站	1,竹料墟站 
10854,东江市场站	1,竹料墟站 
10848,大平市场站	1,竹料墟站 
10843,陈涌站	1,竹料墟站 
10836,蔡二新村站	1,竹料墟站 
10834,蔡边市场站	1,竹料墟站 
10622,新扬村站	1,竹料墟站 
10472,培正大道路口站	1,竹料墟站 
10380,经济贸易职业学校站	1,竹料墟站 
9453,岗顶站2	1,竹料墟站 
9217,诜村村委会站	1,竹料墟站 
9194,板桥东站	1,竹料墟站 
9163,凤西二路站	1,竹料墟站 
9098,铁路边站	1,竹料墟站 
9097,丽康居(教师村)站	1,竹料墟站 
10171,太平路口站	1,竹料墟站 
10129,香雪八路中站	1,竹料墟站 
10057,星岛环南路（星汗一路路口）站	1,竹料墟站 
6663,夏良路中站	1,竹料墟站 
6662,夏良中心公园站	1,竹料墟站 
3884,埔心村口站	1,竹料墟站 
3882,埔南路总站	1,竹料墟站 
3881,埔南路中站	1,竹料墟站 
3880,埔南路中站	1,竹料墟站 
3878,埔南路站	1,竹料墟站 
3877,埔南路延长段中站	1,竹料墟站 
3876,埔南路延长段中站	1,竹料墟站 
3875,埔南路东站	1,竹料墟站 
3874,埔南路东站	1,竹料墟站 
3873,埔南路(翡翠绿洲)总站	1,竹料墟站 
9286,浮山大街口站	1,竹料墟站 
9279,建华汇站	1,竹料墟站 
9252,水厂路口站	1,竹料墟站 
9249,西三村总站	1,竹料墟站 
9235,石南路站	1,竹料墟站 
9145,长红西路站	1,竹料墟站 
8876,三沙村口站	1,竹料墟站 
11307,茶东村(富怡路)站	1,竹料墟站 
8803,石楼镇政府站	1,竹料墟站 
8516,马务联和西街站	1,竹料墟站 
8300,埔北路站	1,竹料墟站 
8297,沧联二路站	1,竹料墟站 
8288,广州植树公园总站	1,竹料墟站 
8156,坳尾村站	1,竹料墟站 
8155,下坭村站	1,竹料墟站 
8143,镇标站	1,竹料墟站 
11303,汇景大道站	1,竹料墟站 
11302,龙湾路口站	1,竹料墟站 
8123,墩涌站	1,竹料墟站 
8094,潭洲车站总站	1,竹料墟站 
10178,增南路芳村车管所站	1,竹料墟站 
9987,丹山村(西环路)站	1,竹料墟站 
9274,会江村委站	1,竹料墟站 
9256,南浦车站	1,竹料墟站 
9245,南浦车站	1,竹料墟站 
8877,猎德路口站	1,竹料墟站 
8078,科丰路隧道站	1,竹料墟站 
9542,艺苑南路口站	1,竹料墟站 
6551,平洲宾馆	1,竹料墟站 
6524,湖洲站	1,竹料墟站 
9162,地铁龙溪站	1,竹料墟站 
9125,创星厂站	1,竹料墟站 
9119,公汽总站	1,竹料墟站 
11323,凌边村站	1,竹料墟站 
11322,凌边一队站	1,竹料墟站 
11321,坑头生态园站	1,竹料墟站 
8869,天益桥站	1,竹料墟站 
8761,昌利工业城站	1,竹料墟站 
8750,东导村委站	1,竹料墟站 
11320,旧水坑小学站	1,竹料墟站 
8636,大岗派出所站	1,竹料墟站 
8631,雍富酒店站	1,竹料墟站 
8622,新联二村总站	1,竹料墟站 
8607,中埠村站	1,竹料墟站 
8603,南顺一村站	1,竹料墟站 
8599,大岗园林宾馆路口站	1,竹料墟站 
8596,浮莲岗站	1,竹料墟站 
8593,莲花山度假村站	1,竹料墟站 
8581,胜洲村中心站	1,竹料墟站 
8578,茭塘东站	1,竹料墟站 
11319,新水坑文化中心站	1,竹料墟站 
8564,庆丰纺织一路	1,竹料墟站 
11318,新水坑牌坊站	1,竹料墟站 
11317,星域动漫科技城站	1,竹料墟站 
11316,蔡三村站	1,竹料墟站 
8420,亭角南站	1,竹料墟站 
8347,土华路西站	1,竹料墟站 
8158,沙角村站	1,竹料墟站 
8132,励业路口站	1,竹料墟站 
11314,老干部活动中心站	1,竹料墟站 
8095,潭洲市场站	1,竹料墟站 
7959,护林路(横沙村口)站	1,竹料墟站 
11313,长沙路站	1,竹料墟站 
11312,前锋路站	1,竹料墟站 
11137,二横路口站1	1,竹料墟站 
7896,华峰寺总站	1,竹料墟站 
11113,新桥东站	1,竹料墟站 
11110,七十七站	1,竹料墟站 
11097,东导桥站	1,竹料墟站 
7251,海北大道站	1,竹料墟站 
7247,彩滨北路站	1,竹料墟站 
9451,上社站1	1,竹料墟站 
9446,上社站1	1,竹料墟站 
11074,十二队站	1,竹料墟站 
11060,万洲村(解放队)站	1,竹料墟站 
8627,马前村站	1,竹料墟站 
8617,马前村站	1,竹料墟站 
8615,北流村站	1,竹料墟站 
8538,八斗村站	1,竹料墟站 
8199,新南村站	1,竹料墟站 
8192,凤尾路站	1,竹料墟站 
7741,云溪路东站	1,竹料墟站 
7737,广州东站汽车站总站	1,竹料墟站 
7714,大龙桥站	1,竹料墟站 
10692,黄鹤路口站	1,竹料墟站 
7558,潭村牌坊站	1,竹料墟站 
7551,潭村文化广场站	1,竹料墟站 
7546,彭加木公园站	1,竹料墟站 
7504,东乡村东站	1,竹料墟站 
7501,东乡村西站	1,竹料墟站 
9941,东平北路站	1,竹料墟站 
9940,前进北街口站	1,竹料墟站 
7070,石井大道(工业园)	1,竹料墟站 
6993,南漖村总站	1,竹料墟站 
9806,大同牌坊站	1,竹料墟站 
5832,九龙二小九楼分校站	1,竹料墟站 
5831,九龙二小大坦分校站	1,竹料墟站 
5830,九龙二小大坦分校站	1,竹料墟站 
5829,九岭路站	1,竹料墟站 
5828,九岭路站	1,竹料墟站 
11139,永盛路口	1,竹料墟站 
3864,平洲冲口站	1,竹料墟站 
11295,草河村牌坊站	1,竹料墟站 
11294,眉山村站	1,竹料墟站 
11292,华南新城南大路口站	1,竹料墟站 
11273,万安工业区站	1,竹料墟站 
11272,良地埠站	1,竹料墟站 
11271,民生桥北站	1,竹料墟站 
11269,榄核长江数码花园站	1,竹料墟站 
11268,榄核成校站	1,竹料墟站 
11264,同康路站	1,竹料墟站 
11263,永大集团站	1,竹料墟站 
11261,甘岗村委总站	1,竹料墟站 
11256,广州外国语学校站	1,竹料墟站 
11054,丹乐食品站	1,竹料墟站 
11053,马克村总站	1,竹料墟站 
9248,西三村口站	1,竹料墟站 
9188,广惠高速路口站	1,竹料墟站 
9153,增南路芳村车管所站	1,竹料墟站 
10997,新市桥汽车站总站	1,竹料墟站 
10990,象圣中学站	1,竹料墟站 
10804,媒体村站	1,竹料墟站 
10234,逸景路口	1,竹料墟站 
8307,诚联公园站	1,竹料墟站 
8298,沧头桥站	1,竹料墟站 
8277,新桂路南站	1,竹料墟站 
10110,地铁文冲站总站	1,竹料墟站 
9495,龙洞北路东站	1,竹料墟站 
7875,赵溪路口站	1,竹料墟站 
10071,纸厂站2	1,竹料墟站 
7648,琶洲大桥底站	1,竹料墟站 
7496,东沙站	1,竹料墟站 
9604,文兴街站	1,竹料墟站 
9833,地铁坦尾站	1,竹料墟站 
8400,麦村村委站	1,竹料墟站 
11107,三坭涌站	1,竹料墟站 
11064,十二队站	1,竹料墟站 
7646,东方二路站	1,竹料墟站 
7644,明月一路站	1,竹料墟站 
7633,墩和街口站	1,竹料墟站 
7632,墩和路中站	1,竹料墟站 
7615,西塱村委站	1,竹料墟站 
7584,茅岗路南站	1,竹料墟站 
7555,潭村综合市场站	1,竹料墟站 
7515,沐陂路站	1,竹料墟站 
9834,太和岗路口站	1,竹料墟站 
7004,洲村站	1,竹料墟站 
7000,信和广场站	1,竹料墟站 
9817,木摾水库站	1,竹料墟站 
6590,罗溪路站	1,竹料墟站 
6562,高普路北站	1,竹料墟站 
6550,平洲玉器街	1,竹料墟站 
6454,太古仓站	1,竹料墟站 
6453,南边路口站	1,竹料墟站 
6441,科珠路口站	1,竹料墟站 
6438,南云一路南站	1,竹料墟站 
6431,南翔一路中站	1,竹料墟站 
7719,海涌路口站	1,竹料墟站 
7717,石基中学站	1,竹料墟站 
6908,荔红公园站	1,竹料墟站 
6439,南云一路南站	1,竹料墟站 
6428,南翔一路西站	1,竹料墟站 
5999,柯木塱大坪街站	1,竹料墟站 
5998,柯木塱大坪街站	1,竹料墟站 
8164,平稳村站	1,竹料墟站 
8107,灵山村站	1,竹料墟站 
8090,科丰中路站	1,竹料墟站 
8069,崖鹰石路北站	1,竹料墟站 
7968,南云五路东站	1,竹料墟站 
7966,科学城南部公交场总站	1,竹料墟站 
11115,新桥村站	1,竹料墟站 
11099,安顺涌站	1,竹料墟站 
11070,沙尾站	1,竹料墟站 
10999,星海中学(捷进中路)站	1,竹料墟站 
10984,西园站	1,竹料墟站 
10979,西丽路站	1,竹料墟站 
10976,西丽工业区站	1,竹料墟站 
7868,赵溪路口站	1,竹料墟站 
10971,西村北山站	1,竹料墟站 
10962,汀根小学站	1,竹料墟站 
10939,沙头市场站	1,竹料墟站 
7811,大坦沙污水处理厂站	1,竹料墟站 
7806,大学城综合商业北区总站	1,竹料墟站 
9465,程介村站2	1,竹料墟站 
7619,科韵路中站	1,竹料墟站 
7598,荔湾区人民医院站	1,竹料墟站 
7591,步漖村站	1,竹料墟站 
7491,侨港路口	1,竹料墟站 
10459,瑞玲站	1,竹料墟站 
10378,高新技术学校路口站	1,竹料墟站 
6560,高普路中站	1,竹料墟站 
10161,江新路站	1,竹料墟站 
6541,平洲医院路口	1,竹料墟站 
10157,萝岗总站	1,竹料墟站 
7718,金井坊站	1,竹料墟站 
7712,长沙路口站	1,竹料墟站 
7697,德宝花园站	1,竹料墟站 
7650,员村五横路口站	1,竹料墟站 
7649,琶洲大桥底站	1,竹料墟站 
7613,西塱大街站	1,竹料墟站 
7572,地铁文冲站	1,竹料墟站 
7545,槎溪大道站	1,竹料墟站 
7522,沐陂村口站	1,竹料墟站 
7455,东平东凤西路站	1,竹料墟站 
10881,公路局南城分局站	1,竹料墟站 
7245,横沙村站	1,竹料墟站 
10865,番艺花园路口站	1,竹料墟站 
10847,大平市场站	1,竹料墟站 
10831,蔡边村站	1,竹料墟站 
10638,东兴市场站	1,竹料墟站 
10055,星岛环南路北站	1,竹料墟站 
6502,亚运城站	1,竹料墟站 
10049,生物岛叠翠园总站	1,竹料墟站 
5986,康南路站	1,竹料墟站 
5984,康南路口站	1,竹料墟站 
5982,康南路北站	1,竹料墟站 
5981,康南路北站	1,竹料墟站 
5980,康乃馨花园站	1,竹料墟站 
5977,康龙大街站	1,竹料墟站 
5974,康乐五社站	1,竹料墟站 
5972,康乐三社站	1,竹料墟站 
5967,康湖大街站	1,竹料墟站 
5965,康大职业技术学院站	1,竹料墟站 
5964,开源大道中站	1,竹料墟站 
5963,开源大道中站	1,竹料墟站 
5961,开泰大道中站	1,竹料墟站 
7112,上庄站	1,竹料墟站 
7007,丰岗收费站	1,竹料墟站 
7749,新墩大道站	1,竹料墟站 
7746,新墩村口站	1,竹料墟站 
9758,龙河中路站	1,竹料墟站 
7721,永善村站	1,竹料墟站 
7645,寺右南街站	1,竹料墟站 
9668,启学路站	1,竹料墟站 
7614,西塱村委站	1,竹料墟站 
10189,思成路站	1,竹料墟站 
7582,炕头站	1,竹料墟站 
7576,炕头站	1,竹料墟站 
7552,南新大街口站	1,竹料墟站 
7539,槎头万龙二街站	1,竹料墟站 
7521,沐陂村口站	1,竹料墟站 
7498,西二村站	1,竹料墟站 
7475,体育西横街路口站	1,竹料墟站 
7457,东平东凤西路站	1,竹料墟站 
7334,培新中学站	1,竹料墟站 
7252,白沙村委站	1,竹料墟站 
7069,石井大道中	1,竹料墟站 
2088,车陂高架桥侧站	1,竹料墟站 
1984,笔岗路站	1,竹料墟站 
2087,潮汕学院站	1,竹料墟站 
2086,潮汕学院站	1,竹料墟站 
2060,茶叶市场站	1,竹料墟站 
2059,茶叶市场站	1,竹料墟站 
2056,茶漖北路站	1,竹料墟站 
2049,岑村桥站	1,竹料墟站 
2040,沧头中路站	1,竹料墟站 
2039,沧头中路站	1,竹料墟站 
2038,沧头村总站	1,竹料墟站 
2037,沧联总站	1,竹料墟站 
2036,沧联小学站	1,竹料墟站 
2035,沧联小学站	1,竹料墟站 
2034,沧联市场站	1,竹料墟站 
2033,沧联市场站	1,竹料墟站 
2032,沧联市场大街站	1,竹料墟站 
2031,沧联市场大街站	1,竹料墟站 
2030,沧联社区站	1,竹料墟站 
2029,沧联社区站	1,竹料墟站 
2024,彩频路站	1,竹料墟站 
2015,布岭路口站	1,竹料墟站 
2014,布岭路口站	1,竹料墟站 
2013,布岭村站	1,竹料墟站 
2012,布岭村站	1,竹料墟站 
2008,菠萝山站	1,竹料墟站 
2005,滨江西路站	1,竹料墟站 
1999,滨河路站	1,竹料墟站 
1998,滨河路站	1,竹料墟站 
1997,滨海半岛站	1,竹料墟站 
1993,边防指挥学校站	1,竹料墟站 
1991,碧映路西站	1,竹料墟站 
1990,碧映路西站	1,竹料墟站 
1989,碧映路东站	1,竹料墟站 
1988,碧映路东站	1,竹料墟站 
1986,碧山村站	1,竹料墟站 
3125,穗盐路站	1,竹料墟站 
3122,穗石村站	1,竹料墟站 
3121,穗石村站	1,竹料墟站 
10274,东石牌坊站	1,竹料墟站 
10192,天盈路站	1,竹料墟站 
10069,石中路口站 	1,竹料墟站 
6661,夏良村委站	1,竹料墟站 
10068,石中路口站	1,竹料墟站 
6597,井岗大道北街口站	1,竹料墟站 
6588,罗溪中路站	1,竹料墟站 
6548,平南市场	1,竹料墟站 
9660,新丰路中(禾丰新村)站	1,竹料墟站 
9658,新丰路(布岭村)站	1,竹料墟站 
9645,凤凰新村站2	1,竹料墟站 
6363,瑶华街站	1,竹料墟站 
5959,开泰大道(新阳路口)站	1,竹料墟站 
5957,开泰大道(瑞和路口)站	1,竹料墟站 
5956,开泰大道(科学城商务中心)站	1,竹料墟站 
5955,开泰大道(科学城商务中心)站	1,竹料墟站 
5954,开泰大道(开源路口)站	1,竹料墟站 
5953,开泰大道(开源路口)站	1,竹料墟站 
5951,开泰大道(开拓路口)站	1,竹料墟站 
5949,开泰大道(开达路口)站	1,竹料墟站 
5948,开泰大道(骏达路口)站	1,竹料墟站 
5944,开泰大道(骏成路路口)站	1,竹料墟站 
5942,开泰大道(东明三路口)站	1,竹料墟站 
5941,开泰大道(东明三路口)站	1,竹料墟站 
5940,开发区(新港码头)总站	1,竹料墟站 
5937,开发区医院站	1,竹料墟站 
5935,开发区路口站	1,竹料墟站 
5932,开发区立交桥北站	1,竹料墟站 
5931,开发区管委会站	1,竹料墟站 
5930,开发区管委会站	1,竹料墟站 
5929,开发大道口站	1,竹料墟站 
5928,开发大道口站	1,竹料墟站 
5926,开达路中站	1,竹料墟站 
5924,开达路北站	1,竹料墟站 
5920,开创大道立交站	1,竹料墟站 
5917,开创大道口站	1,竹料墟站 
6430,南翔一路中站	1,竹料墟站 
6417,金峰园路站	1,竹料墟站 
6411,新新大道中站	1,竹料墟站 
6410,岭头站	1,竹料墟站 
6011,柯子岭站2	1,竹料墟站 
8536,天麓湖郊野公园站	1,竹料墟站 
8535,田心村(天麓北路)站	1,竹料墟站 
8521,渡头大街站	1,竹料墟站 
8520,公园前直街站	1,竹料墟站 
8517,石岗东街站	1,竹料墟站 
8399,麦村村委站	1,竹料墟站 
8398,陈塘社站	1,竹料墟站 
8397,陈塘社站	1,竹料墟站 
11155,天安科技园总站	1,竹料墟站 
10935,沙头村站	1,竹料墟站 
10931,三桥南站	1,竹料墟站 
10930,三桥丹山水闸站	1,竹料墟站 
10921,南区市场站	1,竹料墟站 
10910,康裕西苑站	1,竹料墟站 
10903,捷进中路站	1,竹料墟站 
10899,江南商业城小区站	1,竹料墟站 
10897,机关幼儿园站	1,竹料墟站 
10886,荷景花园站	1,竹料墟站 
12135,北滘交通中心	1,竹料墟站 
12167,东晖路东	1,竹料墟站 
12116,长隆路口站	1,竹料墟站 
11170,广医四院南门站	1,竹料墟站 
11112,东导小学站	1,竹料墟站 
11109,安顺涌站	1,竹料墟站 
11106,石基小学站	1,竹料墟站 
11103,石基村市场站	1,竹料墟站 
11096,东导小学站	1,竹料墟站 
11089,鱼窝头社区中心站	1,竹料墟站 
11088,东深桥站	1,竹料墟站 
11071,十三队站	1,竹料墟站 
11067,十三队站	1,竹料墟站 
11063,红星村站	1,竹料墟站 
11050,高新沙路口站	1,竹料墟站 
11012,仲元中学站	1,竹料墟站 
11003,涌边村站	1,竹料墟站 
11001,雅荷居站	1,竹料墟站 
10951,沙园村站	1,竹料墟站 
10941,沙头中学站	1,竹料墟站 
10933,沙南路站	1,竹料墟站 
10915,龙岐村委站	1,竹料墟站 
10908,康裕北苑站	1,竹料墟站 
10900,江南新村站	1,竹料墟站 
10894,黄沙岛花园站	1,竹料墟站 
11147,知识城政务中心站	1,竹料墟站 
11144,凤凰三横路站	1,竹料墟站 
11143,凤凰三路站	1,竹料墟站 
11118,太石工业区总站	1,竹料墟站 
11105,石基村市场站	1,竹料墟站 
11073,七队站	1,竹料墟站 
11065,七队站	1,竹料墟站 
11061,万洲村委站	1,竹料墟站 
11046,庙青村站	1,竹料墟站 
11019,庙贝村站	1,竹料墟站 
10985,蚬涌路口站	1,竹料墟站 
10956,市桥医院(捷进中路)站	1,竹料墟站 
10917,龙岐村站	1,竹料墟站 
10889,华侨城总站	1,竹料墟站 
7715,石基镇政府站	1,竹料墟站 
7713,汉基工业区站	1,竹料墟站 
10305,风神工商银行站	1,竹料墟站 
7803,中二横路东站	1,竹料墟站 
7729,莲花山交警中队站	1,竹料墟站 
7725,潮田工业区站	1,竹料墟站 
7673,石基村站	1,竹料墟站 
7579,地铁鱼珠站总站	1,竹料墟站 
10209,雁洲路口站	1,竹料墟站 
6432,南翔一路东站	1,竹料墟站 
9812,花围西约站	1,竹料墟站 
6409,岭头站	1,竹料墟站 
6003,柯木塱西路站	1,竹料墟站 
6002,柯木塱西路站	1,竹料墟站 
6001,柯木塱市场站	1,竹料墟站 
6000,柯木塱市场站	1,竹料墟站 
8266,光谱东路站	1,竹料墟站 
11361,钟村文化广场站	1,竹料墟站 
8214,伴河路南站	1,竹料墟站 
11358,石兴大道南站	1,竹料墟站 
8167,灵山路口北站	1,竹料墟站 
8111,灵岗二桥站	1,竹料墟站 
11169,亚运城国际商业街站	1,竹料墟站 
11145,凤凰三横路站	1,竹料墟站 
11138,永盛路口	1,竹料墟站 
7799,金州新邨站	1,竹料墟站 
