7308,清布墟站	805,谢村站 
7256,同康路总站	805,谢村站 
7191,航云北街站	805,谢村站 
6749,长沙浦村站	805,谢村站 
3715,南社站	805,谢村站 
3711,南岗西路南站	805,谢村站 
3710,南山公园站	805,谢村站 
3709,南山公园站	805,谢村站 
10781,市饲料研究所站	805,谢村站 
10780,为民小学站	805,谢村站 
10778,天骄物流园站	805,谢村站 
9347,倚绿山庄站	805,谢村站 
10774,永平八一路站	805,谢村站 
9166,海中村委站	805,谢村站 
10773,永平八一路北站	805,谢村站 
10772,广东警官学院站	805,谢村站 
7097,仲恺农业工程学院北门站	805,谢村站 
7095,广东机电技术学院	805,谢村站 
7080,时代糖果	805,谢村站 
7056,蚌湖路口站	805,谢村站 
7038,兴龙一新村站	805,谢村站 
6902,田心大路口站	805,谢村站 
6871,粤溪牌坊站	805,谢村站 
6861,河边大道口站	805,谢村站 
6775,大纲领路口总站	805,谢村站 
4115,三角亭站	805,谢村站 
4108,三多路口站	805,谢村站 
4105,三保工业区站	805,谢村站 
4104,三保工业区站	805,谢村站 
4103,润云路口站	805,谢村站 
11142,凤凰三路站	805,谢村站 
10693,鹤泰路西站	805,谢村站 
10635,山龙村委站	805,谢村站 
10605,山下安置区站	805,谢村站 
10522,安置北区站	805,谢村站 
10464,国泰站	805,谢村站 
10447,港头站	805,谢村站 
10443,北兴供电所站	805,谢村站 
10425,新世纪广场站	805,谢村站 
10402,新世纪广场站	805,谢村站 
10396,南昌里站	805,谢村站 
10372,南昌里站	805,谢村站 
10363,人爱医院站	805,谢村站 
10637,花都客运站	805,谢村站 
10312,剑岭站	805,谢村站 
10310,将军潭站	805,谢村站 
10308,花都永久墓园站	805,谢村站 
3893,七十一中站	805,谢村站 
3892,七十一中站	805,谢村站 
3891,七十三中学站	805,谢村站 
10652,镇龙旧政府站	805,谢村站 
10460,白石站	805,谢村站 
10412,梯面汽车总站	805,谢村站 
10355,团结路口站	805,谢村站 
10350,振兴村委站	805,谢村站 
10314,炭步汽车总站	805,谢村站 
9291,田心村口站	805,谢村站 
10152,文船生活区东区站	805,谢村站 
9111,太阳城站	805,谢村站 
9107,长岗村站	805,谢村站 
10048,长平村站	805,谢村站 
6717,石南路口站	805,谢村站 
3917,岐山路站	805,谢村站 
3916,岐山路站	805,谢村站 
3915,岐山路口站	805,谢村站 
3914,岐山路口站	805,谢村站 
3913,岐山村站	805,谢村站 
3912,岐山村站	805,谢村站 
3909,齐富路中站	805,谢村站 
3907,齐富路站	805,谢村站 
9130,新好景站	805,谢村站 
9110,港口大道北站	805,谢村站 
8372,秀水塘站	805,谢村站 
8340,九一村站	805,谢村站 
8321,岗埔街站	805,谢村站 
8319,新村一巷站	805,谢村站 
8496,向西大道中站	805,谢村站 
10444,北兴站	805,谢村站 
8302,云埔二路站	805,谢村站 
10438,北兴站	805,谢村站 
10409,席草塘站	805,谢村站 
10404,莲塘市场站	805,谢村站 
8278,光谱东路站	805,谢村站 
10399,南菱汽车城站	805,谢村站 
10362,邝维煜中学站	805,谢村站 
10346,狮岭汽车总站	805,谢村站 
10339,太子广场站	805,谢村站 
9925,粤溪大街站	805,谢村站 
5759,金友街站	805,谢村站 
5758,金友街站	805,谢村站 
8558,岗尾站	805,谢村站 
8551,横沥中街口站	805,谢村站 
8403,大心田村站	805,谢村站 
8371,黄埔体育馆南门站	805,谢村站 
8241,果园一路站	805,谢村站 
9944,东平(横岗)总站	805,谢村站 
7804,中二横路西站	805,谢村站 
7573,石化生活区南总站	805,谢村站 
7553,潭村综合市场站	805,谢村站 
7516,沐陂路站	805,谢村站 
7362,石塘水泥厂站	805,谢村站 
7354,国光厂站	805,谢村站 
7335,东镜站	805,谢村站 
9147,长红广场站	805,谢村站 
9103,永和医院站	805,谢村站 
10133,观达路中站	805,谢村站 
6605,金沙小区站	805,谢村站 
6595,井岗大道北街站	805,谢村站 
4089,瑞和路站	805,谢村站 
4087,瑞和路南站	805,谢村站 
4082,瑞海市场站	805,谢村站 
4080,瑞海路口站	805,谢村站 
4075,瑞宝乡站	805,谢村站 
9158,龙溪大道西站	805,谢村站 
8654,南云三路北站	805,谢村站 
8498,十字路口站	805,谢村站 
8499,十字路站	805,谢村站 
8352,芳兴路站	805,谢村站 
8316,驳塘街站	805,谢村站 
8303,云埔一路(中一药业)总站	805,谢村站 
8267,新桂路南站	805,谢村站 
8191,凤尾村委站	805,谢村站 
7585,茅岗路南站	805,谢村站 
6623,峡石村总站	805,谢村站 
4058,榕村站	805,谢村站 
4057,榕村站	805,谢村站 
10695,鹤泰路东站	805,谢村站 
10686,江夏东一路站	805,谢村站 
10313,赤坭墟站	805,谢村站 
10298,风神工商银行站	805,谢村站 
7960,护林路中站	805,谢村站 
7794,云骏路站	805,谢村站 
9754,地铁飞翔公园站	805,谢村站 
9746,北站路站	805,谢村站 
6967,大华市场站	805,谢村站 
6961,明华市场站	805,谢村站 
6956,合成站	805,谢村站 
6952,纳海皮具园站	805,谢村站 
6946,杨屋路口站	805,谢村站 
6936,大润发站	805,谢村站 
6689,夏良路中站	805,谢村站 
9444,岗顶站1	805,谢村站 
3657,南宁小区站	805,谢村站 
3656,南宁小区站	805,谢村站 
10516,广东行政学院站	805,谢村站 
10494,颐养院站	805,谢村站 
10463,兴仁汽车总站	805,谢村站 
10462,国泰站	805,谢村站 
10449,花侨市场站	805,谢村站 
