3320,龙溪中路站	868,新康花园站 
3319,龙溪中路站	868,新康花园站 
3316,龙溪西路站	868,新康花园站 
3315,龙溪西路站	868,新康花园站 
3313,龙溪大道东(教师新村)站	868,新康花园站 
3312,龙溪村委总站	868,新康花园站 
3309,龙塘路口站	868,新康花园站 
3307,龙潭站1	868,新康花园站 
3304,龙潭村站	868,新康花园站 
3302,龙潭村牌坊站	868,新康花园站 
3297,龙口西路中站	868,新康花园站 
3296,龙口西路南站	868,新康花园站 
3295,龙口西路北站	868,新康花园站 
3293,龙口西(穗园小区)总站①	868,新康花园站 
4235,沙溪站	868,新康花园站 
4234,沙溪站	868,新康花园站 
4233,沙溪商贸城站	868,新康花园站 
4232,沙溪商贸城站	868,新康花园站 
5598,江湾桥脚站1	868,新康花园站 
5596,江同路站	868,新康花园站 
5595,江同路站	868,新康花园站 
5593,江泰路站	868,新康花园站 
5591,江泰路口站	868,新康花园站 
5590,江人路站	868,新康花园站 
5589,江人路站	868,新康花园站 
5588,江人路口站	868,新康花园站 
5587,江人路口站	868,新康花园站 
5586,江南新村站	868,新康花园站 
5475,吉山幼儿园站	868,新康花园站 
5466,吉山坑尾路口站	868,新康花园站 
5459,吉洞站	868,新康花园站 
5458,吉洞站	868,新康花园站 
6362,卜蜂莲花	868,新康花园站 
5453,基建新村站	868,新康花园站 
5446,鸡颈坑站	868,新康花园站 
5444,机务段总站②	868,新康花园站 
5442,机务段路口站	868,新康花园站 
5441,机务段路口站	868,新康花园站 
5440,机务大街站	868,新康花园站 
5436,机电技工学校站	868,新康花园站 
5434,机场生活区站	868,新康花园站 
5433,机场生活区站	868,新康花园站 
5432,机场路总站⑨	868,新康花园站 
5431,机场路总站⑧	868,新康花园站 
5429,机场路总站⑥	868,新康花园站 
5427,机场路总站④	868,新康花园站 
5426,机场路总站③	868,新康花园站 
5424,机场路总站①	868,新康花园站 
5423,机场路总站(11)	868,新康花园站 
5420,机场路岗贝路口站2	868,新康花园站 
5415,机场立交(广中医一附院)总站	868,新康花园站 
