2812,福南坊站	868,新康花园站 
2810,福龙路站	868,新康花园站 
2808,福洞小学站	868,新康花园站 
2806,福洞村站	868,新康花园站 
2805,福洞村尾站	868,新康花园站 
2796,佛公桥站	868,新康花园站 
2795,凤翔中路站	868,新康花园站 
2794,凤翔中路站	868,新康花园站 
2793,凤翔北路站	868,新康花园站 
2792,凤翔北路站	868,新康花园站 
2791,凤尾站	868,新康花园站 
2790,凤尾站	868,新康花园站 
2789,凤尾村口站	868,新康花园站 
2787,凤鸣路站	868,新康花园站 
988,兴东路站	868,新康花园站 
987,星之光电器城站	868,新康花园站 
984,星汇园站	868,新康花园站 
983,星汇园站	868,新康花园站 
980,星河湾站	868,新康花园站 
979,星河湾北门站	868,新康花园站 
978,星河湾北门站	868,新康花园站 
976,星海音乐厅(省中医二沙分院)站	868,新康花园站 
974,星海学院站	868,新康花园站 
972,星海公园站	868,新康花园站 
970,信华路站	868,新康花园站 
968,信和广场(昌岗中路)站2	868,新康花园站 
967,信和广场(昌岗中路)站1	868,新康花园站 
961,新洲总站②	868,新康花园站 
960,新洲总站①	868,新康花园站 
959,新洲前站	868,新康花园站 
958,新洲前站	868,新康花园站 
957,新洲科技园站	868,新康花园站 
956,新洲科技园站	868,新康花园站 
955,新月明珠花园站	868,新康花园站 
954,新月明珠花园站	868,新康花园站 
953,新园路站	868,新康花园站 
952,新园路站	868,新康花园站 
951,新鱼桥头站	868,新康花园站 
950,新鱼桥头站	868,新康花园站 
938,新业路口站	868,新康花园站 
937,新兴村总站	868,新康花园站 
935,新屋站	868,新康花园站 
934,新围村站	868,新康花园站 
932,新厅街站	868,新康花园站 
931,新厅街站	868,新康花园站 
929,新田居委会站	868,新康花园站 
927,新田村站	868,新康花园站 
925,新田村口站	868,新康花园站 
917,新市墟总站	868,新康花园站 
916,新市墟站4	868,新康花园站 
915,新市墟站3	868,新康花园站 
170,珠村七夕广场站	868,新康花园站 
168,珠村路站	868,新康花园站 
165,周门(西关外国语学校)站	868,新康花园站 
164,周门(西关外国语学校)站	868,新康花园站 
163,肿瘤医院站2	868,新康花园站 
162,肿瘤医院站1	868,新康花园站 
161,钟一工业区站	868,新康花园站 
160,钟一工业区站	868,新康花园站 
159,钟一村站	868,新康花园站 
158,钟一村站	868,新康花园站 
157,钟韦路口站	868,新康花园站 
156,钟韦路口站	868,新康花园站 
155,钟落潭医院站	868,新康花园站 
153,钟落潭文化广场总站	868,新康花园站 
152,钟落潭市场站	868,新康花园站 
151,钟落潭市场站	868,新康花园站 
147,钟落潭路口站	868,新康花园站 
145,钟落潭高校园站	868,新康花园站 
143,钟落潭大钟站	868,新康花园站 
142,钟村中学站	868,新康花园站 
141,钟村中学站	868,新康花园站 
140,钟村站	868,新康花园站 
139,钟村站	868,新康花园站 
138,钟村市场站	868,新康花园站 
137,钟村市场站	868,新康花园站 
136,钟村敬老院站	868,新康花园站 
135,钟村敬老院站	868,新康花园站 
133,中医学院站2	868,新康花园站 
131,中医学院站1	868,新康花园站 
128,中信乐涛苑站	868,新康花园站 
123,中心大街南站	868,新康花园站 
122,中心大街南站	868,新康花园站 
121,中心大街南(电信大楼)站	868,新康花园站 
120,中心大街北站	868,新康花园站 
119,中心大街北站	868,新康花园站 
118,中五路站	868,新康花园站 
117,中五路站	868,新康花园站 
115,中山医站2	868,新康花园站 
107,中山七路站1	868,新康花园站 
106,中山六路站	868,新康花园站 
98,中山大学站1	868,新康花园站 
95,中山八路总站⑥	868,新康花园站 
93,中山八路总站④	868,新康花园站 
92,中山八路总站③	868,新康花园站 
91,中山八路总站②	868,新康花园站 
89,中山八路站2	868,新康花园站 
88,中山八路站1	868,新康花园站 
87,中山八路站1	868,新康花园站 
86,中南花园总站	868,新康花园站 
79,中环东路站	868,新康花园站 
75,中华姓名博物馆站	868,新康花园站 
72,中大正门站	868,新康花园站 
71,中大正门站	868,新康花园站 
912,新市墟站2	868,新康花园站 
909,新市新街中站	868,新康花园站 
908,新市新街中站	868,新康花园站 
1534,长棠路口站	868,新康花园站 
1533,长寿西站	868,新康花园站 
1520,长江轻纺城站	868,新康花园站 
1519,长江轻纺城站	868,新康花园站 
1518,长江路口站	868,新康花园站 
1517,长江路口站	868,新康花园站 
1515,长红站	868,新康花园站 
1514,长红站	868,新康花园站 
1512,长红大街站	868,新康花园站 
1511,长红村总站2	868,新康花园站 
1510,长红村总站1	868,新康花园站 
1509,长庚村总站	868,新康花园站 
1508,长庚村口站	868,新康花园站 
1507,长庚村口站	868,新康花园站 
1506,太岗站	868,新康花园站 
1505,太岗站	868,新康花园站 
1504,长岗村总站	868,新康花园站 
1503,长福路中站	868,新康花园站 
1500,长堤站2	868,新康花园站 
1499,长堤站1	868,新康花园站 
1496,长湴站	868,新康花园站 
2486,东湖新村站	868,新康花园站 
2482,东海北路中站	868,新康花园站 
2478,东莞庄路中站	868,新康花园站 
2476,东莞庄路站	868,新康花园站 
2474,东莞庄路南站	868,新康花园站 
2472,东风中路站1	868,新康花园站 
2467,东风西路站1	868,新康花园站 
2458,东风大酒店站1	868,新康花园站 
2455,东方三路站	868,新康花园站 
2452,东二路	868,新康花园站 
2450,东二路	868,新康花园站 
2449,东堤站	868,新康花园站 
2448,东堤站	868,新康花园站 
2447,白云路东站3	868,新康花园站 
2445,白云路东站1	868,新康花园站 
2443,东昌社站	868,新康花园站 
2442,东昌社站	868,新康花园站 
2441,叠景路站	868,新康花园站 
2440,叠景路站	868,新康花园站 
2436,雕塑公园站1	868,新康花园站 
2393,登塘村口站	868,新康花园站 
2391,灯布社站	868,新康花园站 
2390,德政中路站	868,新康花园站 
2389,德星路(上下九步行街)总站	868,新康花园站 
2388,德康路站	868,新康花园站 
2385,党校路口站	868,新康花园站 
2374,丹山村(侨兴大道)站	868,新康花园站 
2373,丹山村(侨兴大道)站	868,新康花园站 
2372,丹山桥站	868,新康花园站 
2371,丹山桥站	868,新康花园站 
2370,带河路站	868,新康花园站 
2368,龙津中路站	868,新康花园站 
2362,大源站	868,新康花园站 
2360,大源北(广州涉外学院)站	868,新康花园站 
2355,大学城体育中心站	868,新康花园站 
2354,大学城体育中心站	868,新康花园站 
2353,大学城博物馆站	868,新康花园站 
2352,大学城博物馆站	868,新康花园站 
2974,广佛路口(滘口客运站)站	868,新康花园站 
2973,广佛路东站	868,新康花园站 
1717,海南南丫东站	868,新康花园站 
1716,海南南丫村口站	868,新康花园站 
1715,海南南丫村口站	868,新康花园站 
1714,海南连生坊站	868,新康花园站 
1713,海南连生坊站	868,新康花园站 
1712,海龙湾总站	868,新康花园站 
1708,海联中路站	868,新康花园站 
1704,海口村站	868,新康花园站 
1703,海口村站	868,新康花园站 
1702,海角红楼站	868,新康花园站 
1701,海角红楼站	868,新康花园站 
1700,海角红楼西门站	868,新康花园站 
1699,海角红楼西门站	868,新康花园站 
1680,郭塘站	868,新康花园站 
1679,郭塘站	868,新康花园站 
1678,郭塘路口站	868,新康花园站 
1677,郭塘路口站	868,新康花园站 
1676,郭塘货场站	868,新康花园站 
1675,郭塘货场站	868,新康花园站 
1674,郭村总站	868,新康花园站 
1671,桂花岗站2	868,新康花园站 
1665,广州雅居乐站	868,新康花园站 
1664,广州血液中心站	868,新康花园站 
1657,广州体育馆站1	868,新康花园站 
1656,广州体育馆南门站	868,新康花园站 
1653,广州市培英中学站	868,新康花园站 
1652,广州市第八医院站	868,新康花园站 
1651,广州市第八医院站	868,新康花园站 
1645,广州火车站总站q	868,新康花园站 
1643,广州火车站总站o	868,新康花园站 
1642,广州火车站总站n	868,新康花园站 
1641,广州火车站总站m	868,新康花园站 
1640,广州火车站总站l	868,新康花园站 
1639,广州火车站总站k	868,新康花园站 
1638,广州火车站总站j	868,新康花园站 
1636,广州火车站总站h	868,新康花园站 
1633,广州火车站总站e	868,新康花园站 
10198,水荫路口站	868,新康花园站 
9974,三元里大道北站2	868,新康花园站 
7801,北三路南站	868,新康花园站 
7778,创德鞋厂站	868,新康花园站 
9927,粤溪南路站	868,新康花园站 
2972,广佛路东站	868,新康花园站 
2971,广东药学院总站	868,新康花园站 
2970,广东药学院站(大学城)	868,新康花园站 
2969,广东药学院站(大学城)	868,新康花园站 
2967,广东药学院站	868,新康花园站 
2966,广东外贸学校站	868,新康花园站 
2958,广东工大站1	868,新康花园站 
2955,广地花园总站	868,新康花园站 
2952,广大站	868,新康花园站 
2945,广大公司站	868,新康花园站 
2942,广船站	868,新康花园站 
2941,广船站	868,新康花园站 
2939,广场站	868,新康花园站 
2934,光塔路总站	868,新康花园站 
