938,新业路口站	1037,雅瑶镇医院站 
936,新屋站	1037,雅瑶镇医院站 
935,新屋站	1037,雅瑶镇医院站 
934,新围村站	1037,雅瑶镇医院站 
930,新田居委会站	1037,雅瑶镇医院站 
929,新田居委会站	1037,雅瑶镇医院站 
928,新田村站	1037,雅瑶镇医院站 
927,新田村站	1037,雅瑶镇医院站 
926,新田村口站	1037,雅瑶镇医院站 
925,新田村口站	1037,雅瑶镇医院站 
166,朱屋站	1037,雅瑶镇医院站 
152,钟落潭市场站	1037,雅瑶镇医院站 
1534,长棠路口站	1037,雅瑶镇医院站 
1532,长平路口站	1037,雅瑶镇医院站 
1528,长平村站	1037,雅瑶镇医院站 
1524,长龙村站	1037,雅瑶镇医院站 
1509,长庚村总站	1037,雅瑶镇医院站 
1508,长庚村口站	1037,雅瑶镇医院站 
1507,长庚村口站	1037,雅瑶镇医院站 
1506,太岗站	1037,雅瑶镇医院站 
2392,灯布社站	1037,雅瑶镇医院站 
2391,灯布社站	1037,雅瑶镇医院站 
2381,丹水坑路中站	1037,雅瑶镇医院站 
2379,丹水坑路南站	1037,雅瑶镇医院站 
2378,丹水坑路口站	1037,雅瑶镇医院站 
1700,海角红楼西门站	1037,雅瑶镇医院站 
1668,广州亿仁医院站	1037,雅瑶镇医院站 
1640,广州火车站总站l	1037,雅瑶镇医院站 
1633,广州火车站总站e	1037,雅瑶镇医院站 
7890,甘竹村站	1037,雅瑶镇医院站 
2955,广地花园总站	1037,雅瑶镇医院站 
1758,海珠路站	1037,雅瑶镇医院站 
11381,湴湄村口站	1037,雅瑶镇医院站 
11380,子沙村委站	1037,雅瑶镇医院站 
11379,新涌村委站	1037,雅瑶镇医院站 
11378,榄核长江数码花园站	1037,雅瑶镇医院站 
11376,大简村南沙大道站	1037,雅瑶镇医院站 
11369,南沙体育馆站	1037,雅瑶镇医院站 
11146,知识城政务中心站	1037,雅瑶镇医院站 
11104,石基村委总站	1037,雅瑶镇医院站 
11081,鱼窝头车站站	1037,雅瑶镇医院站 
11055,马克路站	1037,雅瑶镇医院站 
11048,庙贝村站	1037,雅瑶镇医院站 
11009,樟边路口站	1037,雅瑶镇医院站 
10877,工业路站	1037,雅瑶镇医院站 
12134,陈村路口	1037,雅瑶镇医院站 
11100,晒缯涌站	1037,雅瑶镇医院站 
11094,朗晴工业区站	1037,雅瑶镇医院站 
11087,鱼窝头中学站	1037,雅瑶镇医院站 
11084,丹乐食品站	1037,雅瑶镇医院站 
11083,马克路站	1037,雅瑶镇医院站 
11078,万洲村(解放队)站	1037,雅瑶镇医院站 
11049,东升农场站	1037,雅瑶镇医院站 
11022,中教村站	1037,雅瑶镇医院站 
11021,庙青村站	1037,雅瑶镇医院站 
11018,东升农场站	1037,雅瑶镇医院站 
11015,灵山路口南站	1037,雅瑶镇医院站 
10994,小平牌坊站	1037,雅瑶镇医院站 
10965,威乐工业区站	1037,雅瑶镇医院站 
10963,汀根小学站	1037,雅瑶镇医院站 
10955,市桥医院(捷进中路)站	1037,雅瑶镇医院站 
11687,谢石路口站	1037,雅瑶镇医院站 
11683,西二村(西张二路)站	1037,雅瑶镇医院站 
11672,多州站	1037,雅瑶镇医院站 
11671,永字街站	1037,雅瑶镇医院站 
12042,钟村文化广场站	1037,雅瑶镇医院站 
