7722,石基地铁站	2198,大布路口站 
7720,官涌村站	2198,大布路口站 
4520,石溪东路站	2198,大布路口站 
4493,石牌桥站	2198,大布路口站 
4492,石牌桥站	2198,大布路口站 
4455,石井潭村总站2	2198,大布路口站 
4440,石化生活区站	2198,大布路口站 
4437,石化路口站	2198,大布路口站 
4436,石化路口站	2198,大布路口站 
4435,石化厂站	2198,大布路口站 
4381,师大暨大站	2198,大布路口站 
4380,师大暨大站	2198,大布路口站 
4344,生活区总站	2198,大布路口站 
4340,神舟路中站	2198,大布路口站 
4338,神舟路北站	2198,大布路口站 
4329,深井市场站	2198,大布路口站 
4328,深井码头总站	2198,大布路口站 
5095,华坑路站	2198,大布路口站 
5077,华景新城站	2198,大布路口站 
5076,华景新城站	2198,大布路口站 
5069,华海街口站	2198,大布路口站 
5068,华海街口站A	2198,大布路口站 
5029,花地湾地铁站	2198,大布路口站 
5005,湖州站	2198,大布路口站 
5000,后滘西大街站	2198,大布路口站 
4999,后滘西大街站	2198,大布路口站 
4998,后滘大街总站	2198,大布路口站 
4993,后滘村口站	2198,大布路口站 
4992,后滘村口站	2198,大布路口站 
4991,猴王庙站	2198,大布路口站 
4985,洪村站	2198,大布路口站 
4984,洪村站	2198,大布路口站 
4979,宏明路中站	2198,大布路口站 
4977,宏光路中站	2198,大布路口站 
4974,宏光路站	2198,大布路口站 
4957,红山站	2198,大布路口站 
4956,红山站	2198,大布路口站 
4935,横迳广场站	2198,大布路口站 
1171,银印中队站	2198,大布路口站 
1162,逸景路西站	2198,大布路口站 
5109,华南新城站	2198,大布路口站 
8108,嘉裕花园站	2198,大布路口站 
10147,嘉乐福	2198,大布路口站 
10058,星岛环北路(螺旋二路路口)站	2198,大布路口站 
10052,螺旋大道西站	2198,大布路口站 
7011,佛山模具城站	2198,大布路口站 
6561,高普路高科路口站	2198,大布路口站 
6406,长平村总站	2198,大布路口站 
6069,来安二街站	2198,大布路口站 
6068,来安二街站	2198,大布路口站 
6066,葵蓬一队站	2198,大布路口站 
6064,葵蓬小学站	2198,大布路口站 
6062,葵蓬村委站	2198,大布路口站 
10261,龙溪西路站	2198,大布路口站 
7895,华峰路(红旗村)站	2198,大布路口站 
10232,东风村站	2198,大布路口站 
7874,勒竹旧村站	2198,大布路口站 
7872,东鹏大道总站	2198,大布路口站 
7869,勒竹旧村站	2198,大布路口站 
10210,东湖洲花园站C	2198,大布路口站 
7802,中二横路东站	2198,大布路口站 
7800,北三路南站	2198,大布路口站 
6221,光谱中路站	2198,大布路口站 
6210,水西路北站	2198,大布路口站 
6209,水西路北站	2198,大布路口站 
10130,香雪八路中站	2198,大布路口站 
10060,地铁官洲站总站	2198,大布路口站 
10054,生物岛水墨园站	2198,大布路口站 
9914,龙溪大道西裕海路口站	2198,大布路口站 
1150,艺苑南路站	2198,大布路口站 
1130,怡港花园站	2198,大布路口站 
3497,梅山工业区站	2198,大布路口站 
3496,梅山工业区站	2198,大布路口站 
3492,梅山村站	2198,大布路口站 
3484,茅坦村站	2198,大布路口站 
3481,茅岗站	2198,大布路口站 
3480,茅岗站	2198,大布路口站 
3432,萝岗中心小学站	2198,大布路口站 
3431,萝岗中心小学站	2198,大布路口站 
3423,萝岗文体中心西站	2198,大布路口站 
3412,萝岗行政执法综合楼站	2198,大布路口站 
3403,萝峰村站	2198,大布路口站 
3365,仑头路口站	2198,大布路口站 
3361,仑头公园站	2198,大布路口站 
3359,仑头村委会站	2198,大布路口站 
3345,鹿步新路站	2198,大布路口站 
3343,鹿步球场站	2198,大布路口站 
3342,鹿步牌坊站	2198,大布路口站 
3340,鹿步剧场站	2198,大布路口站 
3338,鹿步大路站	2198,大布路口站 
3336,鹿步大街站	2198,大布路口站 
3319,龙溪中路站	2198,大布路口站 
3315,龙溪西路站	2198,大布路口站 
5471,吉山新街西站	2198,大布路口站 
5466,吉山坑尾路口站	2198,大布路口站 
5441,机务段路口站	2198,大布路口站 
5436,机电技工学校站	2198,大布路口站 
4614,水口坊站	2198,大布路口站 
4605,双岗站	2198,大布路口站 
4604,双岗站	2198,大布路口站 
4603,双岗天桥站	2198,大布路口站 
4602,双岗天桥站	2198,大布路口站 
4560,市九十一中站	2198,大布路口站 
4559,市九十一中站	2198,大布路口站 
4313,上下亨站	2198,大布路口站 
4311,上屋站	2198,大布路口站 
4310,上屋站	2198,大布路口站 
4307,上涂屋西二街站	2198,大布路口站 
4296,上社站	2198,大布路口站 
4295,上社站	2198,大布路口站 
4294,上社牌坊总站	2198,大布路口站 
4293,上社口岗新大街站	2198,大布路口站 
4292,上社口岗新大街站	2198,大布路口站 
4291,上社口岗大街站	2198,大布路口站 
4290,上社口岗大街站	2198,大布路口站 
4289,上社东升大街站	2198,大布路口站 
4288,上社东升大街站	2198,大布路口站 
4287,上埔庄路口站	2198,大布路口站 
4286,上埔庄路口站	2198,大布路口站 
10691,黄鹤路(广州市残疾人体育运动中心)总站	2198,大布路口站 
10663,五眼桥涌尾坊总站	2198,大布路口站 
8313,岗埔街站	2198,大布路口站 
10162,江新路站	2198,大布路口站 
7798,金州新邨站	2198,大布路口站 
7578,蟹山西站	2198,大布路口站 
7550,潭村牌坊站	2198,大布路口站 
6549,省皮肤病防治中心	2198,大布路口站 
10807,广医四院西门站	2198,大布路口站 
10803,地铁海傍站	2198,大布路口站 
9172,东海北路口站	2198,大布路口站 
9168,地铁龙溪站	2198,大布路口站 
9113,锦绣新天地站	2198,大布路口站 
9108,公汽总站	2198,大布路口站 
9106,岗丰村站	2198,大布路口站 
9104,永和中队站	2198,大布路口站 
8651,莲花砚路站	2198,大布路口站 
8616,龙古村站	2198,大布路口站 
8600,南沙村站	2198,大布路口站 
8588,石楼碧桂园站	2198,大布路口站 
8586,茭塘东站	2198,大布路口站 
8583,胜洲村中心站	2198,大布路口站 
8576,石楼碧桂园站	2198,大布路口站 
