11108,晒缯涌站	2211,大东门(中山三路)站2 
11098,七十七站	2211,大东门(中山三路)站2 
11086,朗晴工业区站	2211,大东门(中山三路)站2 
11076,长莫村委站	2211,大东门(中山三路)站2 
11072,十四队站	2211,大东门(中山三路)站2 
11069,万洲水闸总站	2211,大东门(中山三路)站2 
11066,十四队站	2211,大东门(中山三路)站2 
11062,长莫村委站	2211,大东门(中山三路)站2 
11052,灵山路口南站	2211,大东门(中山三路)站2 
11047,宜安村站	2211,大东门(中山三路)站2 
10887,横坑村站	2211,大东门(中山三路)站2 
11172,技术官员村站	2211,大东门(中山三路)站2 
11167,亚运城综合体育馆站	2211,大东门(中山三路)站2 
11140,凤凰四路站	2211,大东门(中山三路)站2 
6683,碑记街站	2211,大东门(中山三路)站2 
10121,红旗路站	2211,大东门(中山三路)站2 
10084,王园路站	2211,大东门(中山三路)站2 
10073,桥中总站	2211,大东门(中山三路)站2 
10053,生物岛北站	2211,大东门(中山三路)站2 
6498,前锋村站	2211,大东门(中山三路)站2 
6496,区公汽公司站	2211,大东门(中山三路)站2 
6494,番禺汽车客运站	2211,大东门(中山三路)站2 
6404,山塘村站	2211,大东门(中山三路)站2 
11980,石基三中(富怡路)站	2211,大东门(中山三路)站2 
11973,西村路口站	2211,大东门(中山三路)站2 
11968,龙湾小学站	2211,大东门(中山三路)站2 
11966,紫坭村委站	2211,大东门(中山三路)站2 
11965,小平路口站	2211,大东门(中山三路)站2 
11961,大刀沙村尾站	2211,大东门(中山三路)站2 
11960,草河小学站	2211,大东门(中山三路)站2 
11670,裕丰东站	2211,大东门(中山三路)站2 
11668,沙北村站	2211,大东门(中山三路)站2 
11665,仙岭村站	2211,大东门(中山三路)站2 
11662,金湖工业区站	2211,大东门(中山三路)站2 
11657,南坑村口站	2211,大东门(中山三路)站2 
11655,金山小学站	2211,大东门(中山三路)站2 
11650,旧水坑小学站	2211,大东门(中山三路)站2 
11648,水濂小学站	2211,大东门(中山三路)站2 
11647,新水坑文化中心站	2211,大东门(中山三路)站2 
11640,市桥医院(西环路)站	2211,大东门(中山三路)站2 
11639,三其大街站	2211,大东门(中山三路)站2 
11637,大龙居委站	2211,大东门(中山三路)站2 
11633,浮沙村站	2211,大东门(中山三路)站2 
11632,古坝市场站	2211,大东门(中山三路)站2 
11629,大桥头站	2211,大东门(中山三路)站2 
11626,番禺博物馆站	2211,大东门(中山三路)站2 
11600,张松村总站	2211,大东门(中山三路)站2 
11598,榄核镇政府站	2211,大东门(中山三路)站2 
11596,九比村总站	2211,大东门(中山三路)站2 
11595,同康路站	2211,大东门(中山三路)站2 
11590,地铁东涌总站	2211,大东门(中山三路)站2 
11589,东涌名苑站	2211,大东门(中山三路)站2 
11580,南沙体育馆站	2211,大东门(中山三路)站2 
11571,西二村(西张二路)站	2211,大东门(中山三路)站2 
11558,石楼派出所站	2211,大东门(中山三路)站2 
11555,裕丰桥站	2211,大东门(中山三路)站2 
11552,合兴村站	2211,大东门(中山三路)站2 
11550,山门牌坊站	2211,大东门(中山三路)站2 
11544,金山村委站	2211,大东门(中山三路)站2 
11542,大龙玻璃厂站	2211,大东门(中山三路)站2 
11541,石基小学大龙校区站	2211,大东门(中山三路)站2 
11539,天德厂站	2211,大东门(中山三路)站2 
11538,凌边总站	2211,大东门(中山三路)站2 
11532,新水坑村生态园站	2211,大东门(中山三路)站2 
11526,长坦村口站	2211,大东门(中山三路)站2 
11525,低涌村总站	2211,大东门(中山三路)站2 
11523,大龙小学站	2211,大东门(中山三路)站2 
11521,大龙经济发展公司站	2211,大东门(中山三路)站2 
11518,茶东村西站	2211,大东门(中山三路)站2 
11510,紫坭村口站	2211,大东门(中山三路)站2 
11507,沙龙尾站	2211,大东门(中山三路)站2 
11485,八沙村站	2211,大东门(中山三路)站2 
11484,八沙村站	2211,大东门(中山三路)站2 
11480,榄核派出所站	2211,大东门(中山三路)站2 
11479,西线路口站	2211,大东门(中山三路)站2 
11478,墩塘工业区站	2211,大东门(中山三路)站2 
11477,创信鞋厂站	2211,大东门(中山三路)站2 
