8111,灵岗二桥站	2747,丰乐路站 
11169,亚运城国际商业街站	2747,丰乐路站 
11145,凤凰三横路站	2747,丰乐路站 
11133,杨梅岗村站	2747,丰乐路站 
11168,亚运城体验中心站	2747,丰乐路站 
7724,陈戴巷站	2747,丰乐路站 
7540,彭加木公园站	2747,丰乐路站 
7453,长湴北街站	2747,丰乐路站 
7392,长沙步村委站	2747,丰乐路站 
7376,广州国际物流中心站	2747,丰乐路站 
7356,东莞村口站	2747,丰乐路站 
7313,南门站	2747,丰乐路站 
2786,凤鸣路站	2747,丰乐路站 
2783,凤凰中学站	2747,丰乐路站 
2533,东塱市场站	2747,丰乐路站 
2523,东璟街站	2747,丰乐路站 
2419,地铁三元里(C2出口)站	2747,丰乐路站 
2414,地铁江夏地铁站	2747,丰乐路站 
2413,地铁江夏地铁站	2747,丰乐路站 
2142,赤岗大塘站	2747,丰乐路站 
2101,车陂站	2747,丰乐路站 
2100,车陂站	2747,丰乐路站 
1966,北站社区站	2747,丰乐路站 
1945,北较场路站	2747,丰乐路站 
1944,北较场横路站	2747,丰乐路站 
1934,北村桥站	2747,丰乐路站 
1909,宝岗大道总站③	2747,丰乐路站 
276,天府路口站	2747,丰乐路站 
268,体育中心站B4	2747,丰乐路站 
257,体育中心站2	2747,丰乐路站 
251,体育中心站	2747,丰乐路站 
245,体育西路站	2747,丰乐路站 
216,珠江医院总站②	2747,丰乐路站 
2161,赤坎桥站	2747,丰乐路站 
1015,学院站	2747,丰乐路站 
1014,学院站	2747,丰乐路站 
1002,兴太三路口站	2747,丰乐路站 
3114,松园中西街站	2747,丰乐路站 
3112,松园中西街南站	2747,丰乐路站 
3110,松园社站	2747,丰乐路站 
3109,松园社站	2747,丰乐路站 
3108,松园街中站	2747,丰乐路站 
3106,松园街北站	2747,丰乐路站 
3099,松柏路中站	2747,丰乐路站 
3072,水南大道中站	2747,丰乐路站 
3070,水南大道西站	2747,丰乐路站 
3049,广园新村总站②	2747,丰乐路站 
3029,广药生活区站	2747,丰乐路站 
3014,广卫路总站4	2747,丰乐路站 
2861,岗顶站	2747,丰乐路站 
2844,甘竹路站	2747,丰乐路站 
2839,富悦街站	2747,丰乐路站 
2812,福南坊站	2747,丰乐路站 
2808,福洞小学站	2747,丰乐路站 
2806,福洞村站	2747,丰乐路站 
2805,福洞村尾站	2747,丰乐路站 
2795,凤翔中路站	2747,丰乐路站 
2793,凤翔北路站	2747,丰乐路站 
979,星河湾北门站	2747,丰乐路站 
970,信华路站	2747,丰乐路站 
951,新鱼桥头站	2747,丰乐路站 
935,新屋站	2747,丰乐路站 
929,新田居委会站	2747,丰乐路站 
927,新田村站	2747,丰乐路站 
925,新田村口站	2747,丰乐路站 
1517,长江路口站	2747,丰乐路站 
1507,长庚村口站	2747,丰乐路站 
1506,太岗站	2747,丰乐路站 
2452,东二路	2747,丰乐路站 
2443,东昌社站	2747,丰乐路站 
2442,东昌社站	2747,丰乐路站 
2391,灯布社站	2747,丰乐路站 
2354,大学城体育中心站	2747,丰乐路站 
1715,海南南丫村口站	2747,丰乐路站 
1714,海南连生坊站	2747,丰乐路站 
1700,海角红楼西门站	2747,丰乐路站 
1680,郭塘站	2747,丰乐路站 
1640,广州火车站总站l	2747,丰乐路站 
1633,广州火车站总站e	2747,丰乐路站 
7890,甘竹村站	2747,丰乐路站 
7801,北三路南站	2747,丰乐路站 
1744,海中高得站	2747,丰乐路站 
