1171,银印中队站	12791,林头西站 
1170,银印中队站	12791,林头西站 
1166,银河园站2	12791,林头西站 
1165,银河园站1	12791,林头西站 
1164,逸景路站	12791,林头西站 
1163,逸景路站	12791,林头西站 
1162,逸景路西站	12791,林头西站 
1161,逸景路西站	12791,林头西站 
1160,逸景路(长江轻纺城)总站	12791,林头西站 
5121,华侨医院(谭村)站2	12791,林头西站 
5120,华侨医院(谭村)站②	12791,林头西站 
5119,华侨医院(谭村)站1	12791,林头西站 
5118,华侨医院(谭村)站1	12791,林头西站 
5117,华普村站	12791,林头西站 
5116,华普村站	12791,林头西站 
5115,华农大正门站	12791,林头西站 
5114,华农大正门站	12791,林头西站 
5113,华南植物园南门站	12791,林头西站 
5112,华南植物园南门站	12791,林头西站 
5111,华南新城总站	12791,林头西站 
5110,华南新城站	12791,林头西站 
5109,华南新城站	12791,林头西站 
5108,华南碧桂园站	12791,林头西站 
5107,华南碧桂园站	12791,林头西站 
5106,华南碧桂园东门站	12791,林头西站 
5105,华南碧桂园东门站	12791,林头西站 
5104,华美学校站	12791,林头西站 
5103,华美学校站	12791,林头西站 
5102,华美路(广汕路口)站	12791,林头西站 
5101,华美路(广汕路口)站	12791,林头西站 
8108,嘉裕花园站	12791,林头西站 
8087,南云一路站	12791,林头西站 
8085,开创大道(中大岭南医院)站	12791,林头西站 
8073,长安村口站	12791,林头西站 
10300,星城站	12791,林头西站 
10297,风神厂站	12791,林头西站 
10236,裕安围东约	12791,林头西站 
10221,蚌湖公园站	12791,林头西站 
10166,富力环市西苑	12791,林头西站 
10164,岑村总站1	12791,林头西站 
10160,北站(华园路)	12791,林头西站 
10147,嘉乐福	12791,林头西站 
10058,星岛环北路(螺旋二路路口)站	12791,林头西站 
7088,钟升东路站	12791,林头西站 
7082,马洞村总站	12791,林头西站 
10052,螺旋大道西站	12791,林头西站 
7011,佛山模具城站	12791,林头西站 
6983,白鳝塘站	12791,林头西站 
6977,润龙里站	12791,林头西站 
6969,茶园市场站	12791,林头西站 
6963,杨屋市场站	12791,林头西站 
6958,纳海皮具园站	12791,林头西站 
6948,杨屋村站	12791,林头西站 
6933,润龙里站	12791,林头西站 
6561,高普路高科路口站	12791,林头西站 
10005,市桥汽车站西门站	12791,林头西站 
9978,百越广场东门(地铁市桥)站	12791,林头西站 
9942,东平北路(横岗村口)站	12791,林头西站 
6508,艺洲路口站	12791,林头西站 
9985,大石中学站	12791,林头西站 
9835,体育西横街路口站	12791,林头西站 
6406,长平村总站	12791,林头西站 
6398,萝岗中心区总站	12791,林头西站 
6069,来安二街站	12791,林头西站 
6068,来安二街站	12791,林头西站 
6067,葵蓬一队站	12791,林头西站 
6066,葵蓬一队站	12791,林头西站 
6065,葵蓬小学站	12791,林头西站 
6064,葵蓬小学站	12791,林头西站 
6063,葵蓬村委站	12791,林头西站 
6062,葵蓬村委站	12791,林头西站 
6061,矿泉街道办站	12791,林头西站 
6058,坑头站	12791,林头西站 
6057,坑头站	12791,林头西站 
6056,坑田站	12791,林头西站 
6055,坑田站	12791,林头西站 
6283,花城大道(华穗路口)站	12791,林头西站 
6275,阅江西路西站	12791,林头西站 
6274,阅江西路中站	12791,林头西站 
6273,会展中心北站	12791,林头西站 
10289,赤坭汽车总站	12791,林头西站 
10288,车陂路口站	12791,林头西站 
7965,萝岗街总站	12791,林头西站 
7962,护林路(茅岗路口)站	12791,林头西站 
7961,护林路(茅岗路口)站	12791,林头西站 
10277,朝阳收费站	12791,林头西站 
10276,庆丰收费站	12791,林头西站 
10275,庆丰收费站	12791,林头西站 
